标题,标题1,作者,内容
第四版 人事工作,科学分类 精准评价,,"全国人社工作会议提出，分类推进人才评价机制改革，全面落实深化职称制度改革任务。陕西按照分类推进人才评价机制改革的精神，把深化职称制度改革作为分类推进人才评价的重点工作，充分发挥职称制度引导和激励专业技术人才不断提高能力素质的重要功能，不断完善评价标准、创新评价方式，坚持重品德、重能力、重业绩的评价导向，积极推进主体职称系列改革工作，破除“唯学历、唯资历、唯论文、唯奖项”的问题，科学设置论文、计算机、奖项等评价条件，打破专业技术人才成长的羁绊。
瞄准高精尖缺人才，推动精准施策。全面实施《陕西省突出贡献人才和引进高层次人才高级职称评审试行办法》，对引进的海外高层次人才和急需紧缺人才，建立职称评审绿色通道，简化评审流程，不让繁文缛节把人才的手脚捆死，不让大量的报表把人才的精力耽误，高级职称评审以考核认定方式进行。对于取得突出贡献和重大技术突破的优秀人才实行“一票决定”制。注重考核人才创新成果，增加专利、成果转化、技术推广、标准制定等评价指标，将科研成果取得的经济效益和社会效益作为职称评价的重要内容。对资历、任职年限、职称外语、计算机应用能力、继续教育、支医支教、工作数量等不作统一要求，由用人单位自主确定。对取得重大基础研究和前沿技术突破、在经济社会各项事业发展中作出重大贡献的专业技术人才包括高技能人才，可直接申报认定高级职称。目前，已有60余名突出贡献人才和引进高层次人才通过“绿色通道”，采取考核认定的方式，取得了正高级职称。2019年，陕西将结合分类推进人才评价机制改革工作，对突出贡献人才和引进高层次人才高级职称评审办法进行进一步修订完善，充分体现品德、能力、业绩的导向作用，注重人才创新成果，激发人才创新活力。
聚焦基层专技人才，畅通晋升渠道。针对基层专业技术人才特点，制定了《关于进一步改革完善基层专业技术人才职称工作的实施意见》，这是陕西首次针对基层专业技术人才出台的宏观职称政策。基层专业技术人才参加职称评审，单独分组，单独评审。对职称外语和计算机应用能力不作要求，对论文、科研等不作硬性要求，对基层教育教学人才，坚持立德树人，把教好书、育好人作为评价核心内容，重点评价其教育教学水平和培养学生的实绩；对基层工程技术人才，重点评价其提高工程质量、推进技术创新、解决技术难题等方面的业绩贡献；对基层农业技术人才，重点评价其服务“三农”、技术推广应用、科普知识宣传、促进脱贫攻坚等方面的业绩贡献。进一步完善向乡镇专业技术人才、作出突出贡献的基层专业技术人才、服务基层的专业技术人才倾斜的政策。政策实施以来，基层专业技术人才申报高级职称的人员数量、通过率大幅度提升，为基层能够引得进人才、留得住人才、用得好人才发挥了重要作用。2019年，将加大基层专业技术人才职称评审落实力度，进一步完善评价标准，改进评价方式，激励引导专业技术人才扎根基层、服务基层的同时，让他们更有成就感、获得感。
突出重大战略需求，优化项目评审。在项目申报和评审中，综合考虑负责人和团队创新能力以及项目要求，不把发表论文、获得专利、荣誉性头衔、承担项目、获奖等情况作为限制性条件。如在顶尖人才和创新团队项目实施中，紧密围绕新能源、电子信息、航空航天、生物医药、人工智能等重点领域开展项目评价，通过政策资金支持，鼓励人才不断创新创造。在博士后人才项目评价中，根据用人单位急需解决的科研攻关、技术创新等重大问题，重点支持人才创新性项目，促进科研成果转化。2019年，将继续围绕陕西“三个经济”发展需要，进一步加大人才创新项目支持，充分发挥高校、科研院所人才优势，鼓励用人单位积极与博士后设站单位开展产学研合作，攻坚克难，为企业创新发展提供技术支持。
深化“放管服”改革，提升服务水平。积极推进“互联网+职称评审”，总结陕西教师、卫生、会计等系列信息化评审的经验，建成全省职称评审信息化系统。深入实施“互联网+继续教育”，全面建成集业务管理与学习一体化的全省继续教育学习平台，真正使专业技术人才实现时时学习、处处学习。开通职称证书查询验证服务，为专业技术人才提供便利。进一步发挥用人单位在人才评价中的主导作用，坚持放的方向，把该放的放活、放好、放到位。在将高校教师教授、副教授评审权下放到各高校的基础上，印发《关于扩大高级职称自主评审范围有关问题的通知》，将高级职称自主评审范围扩大到省级科研院所、大型企业、省级三甲医院等单位。明确自主评审的申请条件、程序和“双随机、两公示、四公开”制度，建立巡查抽查制度和倒查追责机制。目前，按照《通知》规定，经组织专家评估，授予了陕鼓集团、西北有色金属研究院、中陕核工业集团等9家国有大型企业、科研院所工程系列副高级职称评审权。对自主评审单位的高级职称结果，实行备案管理，不再进行审批。2019年，将进一步转变管理方式，既要放好，扩大高级职称自主评审单位的范围；也要管好，加强对自主评审单位评审工作的事中事后监管和服务，避免一放了之，一放就乱。同时积极推进职称评审信息化，提高公共服务水平。
创新之道，唯在得人。下一步，陕西将继续坚持好人才优先发展战略，以习近平新时代中国特色社会主义思想为指导，深刻领会贯彻习近平总书记关于人才工作的一系列重要论述，深刻把握党的十九大关于人才的新定位，切实增强做好人才工作的责任感、使命感，坚持以人民为中心的发展思想，按照全国人社工作会议的要求，着力破除人才发展体制机制障碍，进一步为专业技术人才营造良好的创新创业政策环境，加快形成有利于人才成长的培养机制、有利于人尽其才的使用机制、有利于竞相成长各展其能的激励机制、有利于各类人才脱颖而出的竞争机制，为谱写陕西新时代追赶超越新篇章提供强大的人才智力支撑。"
第四版 人事工作,建章立制正行风,,"本报烟台讯 （通讯员 烟人办）去年以来，山东省烟台市人社局下大力气狠抓系统行风建设，通过建章立制，树立“人社部门为人民”的良好形象。
为确保活动实效，该局专门成立行风建设工作领导小组，抽调专人组建工作专班，下设办公室和“一次办好”改革组等4个专项小组。同时建立健全“三个机制”，即：定期调度机制，将行风建设任务建立台账，实行项目化管理、目标化运作，10天一调度、一通报，遇到困难第一时间研究解决；明察暗访机制，由监督组和邀请的第三方机构不定期、不打招呼明察暗访，对发现的问题，严肃处理，绝不护短遮丑；考核激励机制，把行风建设与业务工作同部署、同考核，将考核结果作为评先树优的重要依据，同时对不担当、不作为、慢作为的，严肃问责。
围绕高标准、严要求，该局由点及面、深入查摆、立行整改，以“求真务实、雷厉风行”的作风，向“慵懒散”和“蛮横硬”宣战，大力推动窗口服务提档升级，做到办事群众一进门，就有人提供首接服务，第一时间了解其需求，提供“店小二”“保姆式”服务，确保服务对象百分百满意。针对群众多跑腿问题，依法精简“一次办好”事项，实现“只进一扇门”“最多跑一次”，开展贴心帮办“一次办结”，持续推进“减证便民”，积极推动业务“全市通办”“全程网办”，努力实现关联事项“一链办理”，已经向社会公布“一次办好”事项146项，拆分办理项248项，其中“全市通办”事项34项，实现了“一次办好”全覆盖。
今年该局将继续推进人社业务办理标准化、信息化、一体化“三化”建设进程，实现服务事项“一站式”“一窗通办”及“全程网办”，精简办事对象提供材料达到60%，办理量最大的30个高频事项“最多跑一次”，业务网上可办率全市不低于70%，基本实现“只进一扇门”，70%服务事项“一窗”分类受理。"
第四版 人事工作,加强公务员职业道德建设,,"本报吴忠讯 （通讯员 马小牛）近日，宁夏吴忠市实施公务员职业道德建设工程，把知与行、自律与他律、示范与引领相结合，全面提升公务员职业道德水平。
该市严把公务员入口“诚信关”，在公务员考录、调任中有违法乱纪、弄虚作假或不守社会公德等行为的，一律不得进入公务员队伍。把干部人事档案审核、个人事项报告查核、廉政记录及承诺践诺等情况列入诚信记录，逐单位逐人建立公务员诚信档案。同时，结合不同层级、行业特点，分类加强职业道德建设，领导干部以理想信念、清正廉洁、敢于担当等为重点，基层公务员以群众观念、办事公道等为重点，窗口单位公务员以优化服务、提高效率为重点，执法一线公务员以强化法治、规范执法为重点，并结合日常考核、年度考核等，加强公务员职业道德表现的了解和考核，考核结果作为公务员评先评优、提拔使用的重要依据。"
第四版 人事工作,图片报道,,"
近期，安徽定远县人社局开展精准帮扶行动，组织帮扶人“一对一”“面对面”解读扶贫政策，帮贫困户算好收入支出账等，助力群众脱贫摘帽。图为该局帮扶人深入贫困户家为贫困户核查收入情况。 
 朱福乐 摄影报道"
第四版 人事工作,内蒙古鄂尔多斯东胜区制定公务员教育培训计划,,"本报鄂尔多斯讯 （通讯员 赵悦洋 张少枫）近日，内蒙古鄂尔多斯市东胜区制定教育培训计划，着力增强新时代公务员教育培训的时代性、针对性。
扎实开展党性教育，定期组织公务员到廉政教育管理中心、警示教育基地等党性教育基地学习，组织一定数量的主体班次到延安、井冈山等革命圣地接受党性洗礼、锤炼党性修养；强化正确发展观政绩观教育，把牢固树立正确的发展观政绩观作为理论学习中心组学习的必学内容，举办不少于2期的公务员轮训班；加大专业化能力培训力度，围绕新兴产业、现代服务、污染防治、防范金融风险和新业态、互联网经济领域等内容，举办专业素质提升培训班；深化形势政策教育，引导公务员深入学习了解自治区、市及东胜发展的历史脉络，做到了解形势、掌握政策。"
第四版 人事工作,江西万载县严格规范公务员诚信行为,,"本报万载讯 （通讯员 吴成全）近年来，江西省万载县建立完善公务员诚信考核机制，严格规范公务员诚信行为，打造党和政府信任、人民群众信赖的公仆。
严格规范公务员诚信行为，围绕政治纪律、组织纪律、工作纪律、职业道德、社会公德、家庭美德、个人品德等七个方面建立公务员“二十个不准”制度。着力完善公务员考核机制，创新公务员诚实守信考核体系，拓展考核领域，将公务员内部考核向社会延伸，从工作向生活延伸，从八小时以内向八小时以外延伸，加强社会各方对公务员诚信的评价监督，通过发挥组织、社会、公共管理机构、社区、信用服务机构的作用，多层次、多渠道、全方位地做好公务员诚信考核工作。同时按照干部管理权限对公务员建立诚信档案，将公务员个人有关事项申报、廉政记录、年度考核结果、违法违纪等相关信用信息，依法依规纳入公务员诚信档案，将公务员严重失信信息归集至公共信用信息系统，并将每年度诚信记录作为公务员考核、任用、奖惩和职务职级晋升的重要依据。"
第四版 人事工作,“科技红包”送上门,,"“人才办同志吗？我们这边又收集到几条基层群众种养殖难题……”
正值年关，四川广安市委组织部（市人才办）又筹划了一次集中赴基层活动，从全市人才库里抽调了农业、水产、中药材种植方面的专家秦茂见、游明志、王庆等，赶赴村里送“科技红包”，解科技难题，促产业发展。
一大早，广安下了大雾，整个城市像笼罩在白纱帐中。专家一行已经远离市区行走于乡村田间，“没得关系，早上雾越大，一会儿天越晴！”
产业进村，农户像城里人一样上班
果不其然，雾渐渐散开，阳光给数九寒天洒下丝丝暖意。行驶到岳池县顾县镇马家村，清冽湿润的空气里，似乎飘着微微甘苦的味道。田埂下，几位村民正挥舞锄头翻土。
记者上前攀谈，72岁的曾顺权老人说，自己以前种庄稼，现在种中药材，工钱50元一天，一年还有2000多元的土地租金。他笑着一指：“家不远，就几分钟。8点上班，晚上6点下班，中午回去休息，也像城里上班的人一样了！”
村民有“班”上，是因为村里引进了企业。马家村过去是个穷山沟，走路到镇上都得一个多小时，现在却成了“金窝窝”。岳池县正大力发展生物医药产业，马家村的气候土壤适合种中药材，县工业园里的几家企业干脆前伸产业链，把生产基地放在了这里。
规模化种植中药材，在马家村属于从无到有，土地、资金等解决后，种植、育种等技术问题成了关键。市委组织部（市人才办）、市人社局时常组织专家到村里“把脉问诊”。专家一行来到村委会院坝时，红色塑料凳围成半圆，热腾腾的茶水已经备好，几位企业负责人翘首以待，一场中药材种植技术院坝交流会又开始了……
柑橘大县冲出应季热门水果
吃过午饭，专家一行又马不停蹄赶往武胜县鸣钟乡龙庙村。进村时，“首届李子采摘文化节”的条幅颇为醒目。从新旧程度上看，有些日子了。
“横幅都没舍得摘！去年6月办的采摘节，那时还以为15元一斤定价高了呢，结果根本没剩下。”村干部们对当时的盛况意犹未尽。市委组织部为该定点联系扶贫村派干部、请专家、找产业，给村里带来了巨大变化。
以前，这是一个典型的空壳村：没产业、没集体收入，四成村民在外务工，有的过年都不愿回来。发展产业，得有人牵头做。乡上发动大家挖掘在外的能人乡友，市县乡领导干部多次上门拜访，把在云南昆明已开了几十家水果超市的彭兵请了回来。
第一个吃螃蟹，免不了走弯路。所幸，有专业人才力量的支持，几次都挺了过来。
人请回来了，发展什么？武胜县是有名的柑橘大县，但村里没有盲目上马，而是先请专家前来把脉：龙庙村土地肥力薄，整形成本高，不适合种柑橘，李子是个不错的选择。种哪个品种？市人才办专门派专家现场支招，青脆李、蜂糖李、茵红李等李子品种口感好、销量好。
一千亩李子树栽下去了，长势很好，眼看着树枝蹿得很快，但就是不结果。专家又来了，点出门道：剪不好枝开不好花、压不好枝结不好果。请专门的人来剪枝要两三百元一天，村里就帮忙联系农业局专家现场免费教。
随着李子产业日臻壮大，村里通了路和自来水，贫困户入了股，村里人气也越来越旺。“回来就不走了。”彭兵还新承包了100亩鱼塘，水质很好，但鱼就是不长。正好今天游明志来给他支招：“养鱼讲究比例，一草养三鲢，你放上100条草鱼，100条花鲢，300条白鲢，试试看。”
彭兵听得很认真：“要得要得，咱们留个电话……”
养殖户的“守护神”
从李子园出来，专家一行来到了古家寨淡水鱼养殖专业合作社，村民古海鹏2014年返乡承包了这个鱼塘。“现在政策好，签了20年。”站在鱼塘边，古海鹏跟记者说，鱼卖到重庆，销路也不愁，最紧要的就是解决养殖技术。
2016年春天，鱼塘差点遭遇灭顶之灾。“就看见鱼苗都浮出头，绕着鱼塘打圈圈，这么下去一周就会缺氧死掉。”鱼的疫病传染快，救治不及时，一池子的鱼会全军覆没。
常规上报请专家是来不及了，分秒必争。驻村农技员立即登录科技扶贫在线平台，利用网络机制迅速联系到水产专家，开展应急工作，最快组织现场指导、救治。原来是鱼长了螨虫。下了药，过了两天，鱼都落了下去，一切恢复正常。
这天，市里专家又来给他鱼塘的水质问题支招。“必须得依靠科技的力量，现在，市里专家巡回下基层，县里建了专家库，驻村农技员实行首问负责，村里对他们也有考核权。”市委组织部来挂职乡党委副书记的文道才介绍说，人才支持机制，让村里的种植养殖户有了“守护神”。"
第五版 基层党建,党旗领航 民企发展劲头足,,"
本报成都讯 （通讯员 蓉组轩）2018年民营企业座谈会后，四川成都市立足营造良好营商环境，启动“党旗领航·聚力发展”行动，以联合组织生活为载体，构建“五联”机制，实现党课身边讲、政策及时送、诉求现场商、问题协调处、结果定期返，帮助民营企业解决困难和问题。
联通建立两本台账。成都组织乡镇（街道）党（工）委、产业功能区、产业园区、商圈市场和商务楼宇党组织，采取线上线下相结合的方式，定期收集企业诉求和问题，建立诉求台账和问题台账，实现诉求问题收集全方位、全时段、全覆盖。比如，双流区开展“企业咖啡时”相关活动39场次，企业参与近4000人次，区委书记、区长现场办公，收集企业诉求问题165件，及时回复164件。
联合搭建三级平台。由市、区（市）县委两新工委、乡镇街道党（工）委，以及产业功能区、产业园区、商圈市场和商务楼宇党组织召集开展三级联合组织生活，形成各级两新工委上下联动、统筹协调的格局，实现诉求及时回应、问题妥善解决。新都区开展联合组织生活8场次，吸引50余个部门党组织和200余个民营企业党组织共同参与，解决企业问题200余个。温江区推行“区委两新工委+园区、镇街+民营企业”双重联合组织生活模式，收集并帮助企业解决困难56个。
联建形成一个机制。该市采取微党课、政策解读、难题共解等固定环节加自选环节的“3+X”模式，每季度自下而上开展一次联合组织生活，联合解决问题。本级无法解决的问题，报上一级两新工委，列入上一级联合组织生活的共解议题，实现诉求问题层层解决、层层上报。青白江区搭建“蓉欧驿·商峰荟”平台，建立流动“微党校”13个，结合民营企业政策需求，开展党课67场次，精准解决企业上市、社保等发展问题69个。
联解形成两张清单。区（市）县委两新工委对两本台账综合研判，区分共性个性、轻重缓急，按照行业相近、地域相邻等原则，确定参加的企业、职能部门和社会组织，联合解决企业诉求问题，形成已解决清单和未解决清单，并向市委两新工委报备。蒲江县推动178名优秀党员干部结对联系民营企业，收集226家企业诉求问题157个，联合职能部门和166家社会组织，形成问题解决时间节点清单、保障清单、可预见问题清单和系统化解决问题方案。
联动推送惠企政策。市县两级两新工委会同工商联，动态梳理汇总经信、财政、科技、工商等相关职能部门出台的涉企惠企政策，及时宣传推送至企业。对于企业关注度高、困惑较多的政策，利用每月联合组织生活，有针对性地确定相关职能部门解读，实现政策信息全覆盖汇总、精准化解读和定制化推送。新都区两新工委联合宣传部、经信局、人社局等部门，在民营企业中广泛开展人才等主题政策宣讲，推动律所党支部送“法律大餐”进民营企业。成都市经信局推动各行业处室常态化开展送政策进企业，及时将最新政策送至企业，切实增强企业获得感。
“党旗领航·聚力发展”行动开展以来，成都各级两新工委积极开展联合组织生活，50多个职能部门（群团组织）党组织参与，覆盖近50000家企业，帮助3000多家企业解决融资、安全生产、员工培训、子女入学、购房等问题近4000个，促成企业间合作400多项，受到民营企业广泛欢迎。"
第五版 基层党建,“共驻共建”让城市更具活力,,"本报鄂尔多斯讯 （通讯员 张翼飞）近年来，内蒙古鄂尔多斯市坚持区域统筹、条块协同、上下联动、共建共享，不断强化作用发挥，优化资源配置，创新服务方式，逐步形成管理网格化、保障标准化、服务精细化的城市基层党建新格局，让城市更具活力。
该市建立健全市、旗区、街道、社区四级联动体系，不断强化各级作用发挥。市级层面，发挥总调度作用，建立市直部门参与的联席会议制度，推动城市各领域党组织形成合力；旗区层面，发挥一线指挥部作用，通过打造“白领e家”、社会组织和社会组织党组织“双孵化”等方式，调动辖区各方面参与城市基层党建的积极性；街道层面，发挥轴心作用，通过设立“大工委”，实行“轮值书记”“兼职委员”等机制，凝聚区域力量；社区层面，发挥战斗堡垒作用，通过建立“社区党委+网格党支部+楼栋党小组+党员中心户”网络，形成横向到边、纵向到底的网格化管理格局。
按照“资源共享、优势互补”的原则，该市不断优化资源配置、加强基础保障，推进共驻共建。在阵地联建方面，通过多元化投入、政策化支持、标准化建设的方式，实现阵地全覆盖，同时，整合一站式服务大厅，与居民自治组织和专业社会组织、驻区单位联建共用，进一步提升阵地利用率，确保有地方议事；在队伍联育方面，通过考试录用、社会招聘、选派党建指导员等方式，为社区充实人员力量，确保有人管事；在经费联筹方面，按照财政资金投入一点、驻区单位协助一点、社会力量补充一点的形式进行筹集，另外，通过“公益创投”“红色众筹”等方式，鼓励驻区单位设立“堡垒保障金”“先锋引领金”等，确保有钱办事。
针对城市居民多元化需求，该市充分整合街道社区各类服务资源，形成以党组织为核心，融合居民自治、志愿服务和政府购买社会组织服务的“一核心三融合”城市基层党建工作机制。深入开展品牌化志愿服务，认领社区“微心愿”，实现服务与需求高效对接。积极推进政府购买社会服务，成立社工师联合会，持续培养社工人才，培育专业社会组织。借助“智慧党建”平台打造全市智慧党建总控调度中心，探索建立街道社区信息发布平台、城市居民“一键式”数字呼叫系统、“社区e家”电子信箱等平台，居民在家就能咨询就业创业、小区物业管理等有关政策制度。去年，共收集居民各类意见建议5000余条，帮助协调解决小区路灯维修、居民家政服务等各类问题4000余件。"
第五版 基层党建,湖北麻城支部发挥政治功能有清单,,"本报麻城讯 （通讯员 刘晓峰）从去年开始，湖北麻城市向全市村（社区）印发村（社区）党支部发挥政治功能工作清单，切实解决村级党支部在突出政治功能上不知道“如何做、做什么”的问题。
该市结合当前工作实际，详细列出1年中村（社区）党支部在发挥政治功能上必须做好的19项工作，让党支部知道“做什么”，每项工作列出具体要求和量化指标，让党支部知道“怎么做”，把突出政治功能的要求变成基层支部可操作、能落实的具体工作。同时依据清单制定条目式督办检查细则，一季一督查、一查一通报，倒逼各支部依章操作。清单下发后，各党支部严格按照清单推进落实工作，召开群众会、“院子夜话”等宣讲落实党的政策活动350余场次，支部主题党日、组织生活会、民主评议、谈心谈话等制度得到全面落实。"
第五版 基层党建,陕西陇县：五类课堂提升第一书记素质,,"本报陇县讯 （通讯员 朱富强）针对部分第一书记抓党建促脱贫能力不足，促发展视野不宽、理念不新的等问题，从去年开始，陕西陇县开设“五类课堂”，提升第一书记素质能力。
该县开设固定课堂，充分发挥县委党校、村级党员活动阵地的作用，整合全县教学资源，邀请省、市委党校教授，行业部门领导授课；开设实践课堂，组织涉农部门科技人员深入田间地头，面对面、手把手地给第一书记传授种养殖技术；组织流动课堂，每半年县委组织部联合县委党校、县涉农部门组成宣讲团，以党的基本理论知识和农村实用技术为培训内容，组织第一书记到镇村示范点开展观摩培训；开通空中课堂，依托智慧党建平台，组织第一书记通过远程视频的方式，学习党的政治理论、脱贫攻坚政策；推行网上课堂，建立第一书记微信群、QQ群，把相关学习内容发送到第一书记手机上，使第一书记无论是在田间地头，还是在村上办公都能接受教育。"
第五版 基层党建,图片报道,,"
近日，浙江台州市路桥区路北街道派出所民警与党员志愿者来到辖区幼儿园，通过现场模拟，教小朋友如何正确报警，讲述防毒品、防拐骗等安全常识。   蒋友亲 摄影报道

春节前后，新疆拜城县组建142个流动党员服务站，利用远教、短信、QQ群、微信群等平台，加强与返乡流动党员沟通联系。图为近日该县服务站工作人员利用远教终端对流动党员进行培训。     罗刚 摄影报道"
第五版 基层党建,青海祁连四支队伍联村助帮扶,,"本报祁连讯 （通讯员 赵地阔 冶占勋）近年来，青海祁连县积极实施县级领导干部、县直机关单位、乡镇驻村干部、第一书记4支帮扶队伍联系1个贫困村党组织的“4+1”党建扶贫模式，激发党建助力脱贫攻坚。
该县30名县级领导干部定点包干18个贫困村，每季度到联点村开展调查研究，分析研判村级班子建设、村集体经济发展等工作，制定对应的帮扶措施；27个县直机关单位及时向45个联点村宣传党的路线方针政策和国家法律法规，定期为党员干部群众传授科学技术、文化生活等方面的知识，并在基础设施项目、资金、资源等方面予以支持；122名乡镇驻村干部第一时间到所驻村传达上级党委的重大决策和重要会议、文件、指示精神，督促村党支部落实“三会一课”“支部统一党日”“组织生活会”等制度；45名第一书记围绕脱贫政策宣讲、发展村集体经济、建强村级组织等5项内容开展工作，走访所驻蹲点村贫困对象，了解每户基本情况，分类制定针对性措施，带领群众共同发展富民产业。"
第五版 基层党建,重庆云阳编印口袋书 冬训帮送学,,"本报云阳讯 （通讯员 徐昊）近期，重庆市云阳县把加强农村党员队伍建设、助推脱贫攻坚作为有力抓手，扎实有序推进全县农村党员冬训工作。
该县坚持把学习贯彻习近平新时代中国特色社会主义思想作为首要政治任务，把冬训工作与学习中央和市委县委脱贫攻坚各项部署要求相结合。围绕十九大精神、乡村振兴等内容，编印《农村党员学习口袋书》20000多册，全覆盖发放到每名农村党员手中。从县委党校、县司法局等部门抽调15名专业人员组成宣讲团，在42个乡镇（街道）开展宣讲辅导。利用互联网、远程教育站点等平台，组织党员“集中学”420多场次，通过微信群为流动党员“寄送学”590多场次，为年老体弱党员“帮送学”300多人次。"
第五版 基层党建,流动的党员 不变的初心,,"核心提要
●在外泉籍商会有257个，已建立党组织126个，党员635名，引进回归项目75个，投资总额达665.12亿元
●仅2018年，全市共举办流动党员培训班543期，培训外来流动党员2600多人次
“谢谢，太谢谢你们了！”向阳乡马迹村的施前阿婆紧紧握着深圳市南安商会党支部书记洪天旺的手，一个劲儿地道谢。
向阳乡是福建泉州市南安市最偏远的乡镇，境内海拔800米以上的山峰就有17座，是原省定贫困乡。冬日的向阳，浸透着南方独有的湿冷，但马迹村23户村民的心里却是暖洋洋的。在刚刚举行的深圳市南安企业协会共建萌芽绿茶扶贫股东分红仪式上，23户贫困户现场领取了入股以来的第3笔分红和慰问金，每户1000元，施阿婆便是其中的一户。
3年前，施阿婆的家被台风“莫兰蒂”摧毁，在当地政府的帮助下重建了几间房。深圳南安商会党支部了解到这个情况后，在南安市委组织部和统战部的指导推动下，首创“党员+专业合作社+贫困户”的模式，在马迹村成立了萌芽绿茶合作社，吸收马迹村23户贫困户入股。如今，23户贫困户不仅每个月都能领到工钱，年底的分红也越来越多，真正实现了“造血”脱贫。“我是一名企业家，但首先是一名党员，引导党员会员在家乡结‘穷亲戚’，助力家乡事业发展是我不可推卸的责任。”洪天旺对此深有感触。
这样暖心的故事只是泉州市流动党员“有作为”的一个小小“样本”。在这个样本背后，是泉州市为寻找、管理和服务全市3万多名流动党员所倾注的不懈努力和无限热情。
据了解，泉州市现有在外泉籍商会257个，已建立党组织126个，党员635名。“异地商会中的党员大都是优秀的企业家代表，春节正是他们返乡的高峰期，只有寻找到流出党员与家乡事业的契合点，让流动党员知党音、知乡情、知责任，才能唤醒他们对自己党员身份的认同感和对党组织的归属感，激发‘比奉献’‘晒成绩’的高度热情。”泉州市委组织部有关负责人道出了“泉州样本”的基本内涵。十九大召开以来，在党员企业家的积极推动下，泉州各异地商会引进的回归项目共签约75个，投资总额达665.12亿元，异地商会党员企业家已成为助推泉州经济社会发展的重要力量。
依托园区党群服务中心，加强对外来流动党员的管理服务也是泉州探索出的一条特色路子。在各县（市、区）建设10个党群服务中心，有效解决了园区中小微企业流动党员活动阵地小、资源少的难题。通过设立“党员先锋岗”“党员责任区”“党员突击队”“党员科技攻关组”，开展外来流动党员“承诺、践诺、评诺”活动，组织引导广大外来流动党员积极参与技术攻关、新品研发、节支降本和生产管理等活动，影响和带动员工为企业健康发展作贡献。全市非公企业流动党员共作出公开承诺20多万条，帮助企业解决实事1.2万多件，承担急难任务、技术革新3100多项，为企业创造效益超过10亿元。
绘就流动党员管理“泉州样本”的不仅仅是党委政府的正向引领，更是泉州民营企业家的行动自觉。恒安集团是全国著名的民营企业，董事长许连捷也在多个场合强调：“我们要把优秀人才都培养成共产党员，把共产党员都培养成优秀人才。”政府与企业同心协力，流动党员的关爱服务不断谱写新篇。仅2018年，全市共举办流动党员培训班543期，培训外来流动党员2600多人次。走访慰问流动党员465人次，发放慰问金20多万元。对泉州3万多名流动党员来说，流动的意义已然渐渐淡化，取而代之的是他们对第二故乡浓浓的情意和强烈的主人翁意识。
编后
泉州作为改革开放的前沿阵地，是民营经济发展大市，孕育了著名的“晋江经验”。针对流动党员去向难掌握、管理难到位、教育难跟进、活动难开展等老大难问题，泉州依托异地商会党组织加强对流出党员的管理服务，不断寻找流动党员管理新的突破口，成为泉州市流动党员管理的一个全新亮点。 （本专题到此结束）"
